ra,lumclass,vmag,dec,picid
302.2708729,GIANT,9.508999800000002,18.5835218,364258337
301.9189775,DWARF,10.656,18.583699,393497198
302.7475168,DWARF,9.798000300000002,18.5873855,277885872
302.4586454,DWARF,9.0450001,18.5974741,393709610
303.5025456,GIANT,8.437999699999999,18.6030573,260800102
304.9912451,GIANT,9.9540005,18.6039241,314170932
300.6316992,GIANT,9.8330002,18.6130926,352658190
308.5218314,GIANT,9.8120003,18.6139014,417385397
302.0956513000001,DWARF,8.21,18.6149772,322850916
303.3368805,DWARF,10.186,18.6157779,395906811
309.4526355,GIANT,9.611000099999998,18.6229085,406719833
301.4069566,GIANT,9.2110004,18.6252217,288732319
308.033478,GIANT,7.1198602,18.6274608,417123133
308.3486421,GIANT,8.369999900000002,18.628984600000006,417382041
305.0641974,DWARF,10.879,18.6468682,288829781
301.9223753,DWARF,9.8290005,18.653959,393497472
307.1967568,DWARF,10.575,18.6577052,210232062
308.7979954,GIANT,9.493,18.6650742,314174061
307.7882725,GIANT,9.96,18.6702049,379440706
307.377146,GIANT,11.535,18.6749016,379103287
307.3746249,DWARF,10.707,18.675773,379103303
305.9097659,DWARF,9.673000300000002,18.6911951,219557019
300.0419425,DWARF,9.54,18.7073034,256353472
304.2601391,DWARF,9.7939997,18.7085565,304718407
306.09477210000006,DWARF,10.035,18.7114872,219600557
299.6583526,DWARF,9.9530001,18.7185095,423902493
303.1846315,DWARF,10.094,18.721049800000007,278265904
300.8339933000001,GIANT,8.25,18.7222898,257125803
300.3684144,DWARF,11.035,18.7249168,256634531
301.0036916,DWARF,8.840000199999997,18.7301223,287806686
308.9499731,GIANT,8.9809999,18.749485,210235392
299.3661484,GIANT,8.6899996,18.7588484,263229812
307.080132,DWARF,6.8759098,18.768172,210171104
299.72108,DWARF,10.459,18.780610100000004,423938467
302.3937315,GIANT,7.650000099999999,18.7812753,393708879
299.7206861,DWARF,9.9069996,18.7814822,423938491
308.4557925,GIANT,9.2030001,18.7869983,417381647
299.6723512000001,DWARF,10.237,18.7894318,423938520
300.9423501,GIANT,9.8389997,18.8006518,257126181
309.180084,GIANT,9.5749998,18.8016845,406611335
305.0083615000001,DWARF,9.3039999,18.8039917,314170340
309.5569646,DWARF,8.665,18.8152242,243459988
304.8312975,DWARF,7.816,18.8230414,361561663
309.2725087,DWARF,9.434,18.823282100000004,406663261
305.4326323,GIANT,9.673000300000002,18.8283623,402904221
